Agent,Date,Grade,Market,Origin,Package,Price,Quantity,ShippingType,Species,TradeType,Unit,UnitPrice
대전원협(공),20150228,특,대전노은농수산물도매시장,대전광역시 유성구,기타,5000,112,개별,설향,경매,1,5000
대전원협(공),20150228,특,대전노은농수산물도매시장,세종특별자치시,기타,11700,36,개별,설향,경매,2,5850
대전원협(공),20150228,특,대전노은농수산물도매시장,충청남도 논산시,기타,6300,32,개별,설향,경매,1,6300
대전원협(공),20150204,특,대전노은농수산물도매시장,세종특별자치시,기타,8100,14,개별,기타,경매,1,8100
포항청과,20150209,보통,포항농산물도매시장,서울특별시 중구,상자,8000,3,개별,육보,경매,1,8000
포항청과,20150210,특,포항농산물도매시장,서울특별시 중구,상자,9000,30,개별,설향,경매,1.5,6000
포항청과,20150223,4등,포항농산물도매시장,경상북도 경주시,상자,33000,37,계통,설향,경매,1,33000
포항청과,20150223,4등,포항농산물도매시장,경상북도 경주시,상자,5000,39,계통,설향,경매,1,5000
포항청과,20150211,특,포항농산물도매시장,경상북도 영천시,상자,12200,12,계통,설향,경매,1.5,8134
포항청과,20150212,특,포항농산물도매시장,경상북도 영천시,상자,12600,16,계통,설향,경매,1.5,8400
포항청과,20150204,보통,포항농산물도매시장,경상북도 영천시,상자,3000,3,계통,설향,경매,1.5,2000
포항청과,20150224,특,포항농산물도매시장,경상북도 영천시,상자,8500,12,계통,설향,경매,1.5,5667
포항청과,20150224,상,포항농산물도매시장,경상북도 경주시,상자,4800,5,계통,설향,경매,1,4800
포항청과,20150225,상,포항농산물도매시장,경상북도 포항시,상자,8800,27,계통,설향,경매,1.5,5867
포항청과,20150213,보통,포항농산물도매시장,서울특별시 중구,상자,8300,29,개별,설향,경매,1,8300
포항청과,20150213,특,포항농산물도매시장,경상북도 포항시,상자,19100,30,계통,설향,경매,1.5,12734
포항청과,20150214,특,포항농산물도매시장,경상북도 경주시,상자,23600,50,계통,설향,경매,1.5,15734
포항청과,20150206,상,포항농산물도매시장,경상북도 영천시,상자,10100,10,계통,설향,경매,1.5,6734
포항청과,20150206,상,포항농산물도매시장,경상북도 포항시,상자,12800,18,계통,설향,경매,1.5,8534
포항청과,20150227,상,포항농산물도매시장,서울특별시 중구,상자,4800,27,개별,설향,경매,1,4800
