Agent,Date,Grade,Market,Origin,Package,Price,Quantity,ShippingType,Species,TradeType,Unit,UnitPrice
포항농협(공),20150105,특,포항농산물도매시장,경상북도 포항시,기타,15500,13,개별,설향,경매,1.5,10334
포항농협(공),20150127,상,포항농산물도매시장,경상북도 포항시,기타,13000,9,개별,설향,경매,1.5,8667
포항농협(공),20150127,보통,포항농산물도매시장,경상북도 경주시,기타,10500,26,개별,설향,경매,1.5,7000
포항농협(공),20150106,상,포항농산물도매시장,경상북도 경주시,기타,12500,20,개별,설향,경매,1.5,8334
포항농협(공),20150107,특,포항농산물도매시장,경상북도 경주시,기타,15500,30,개별,설향,경매,1.5,10334
구미농협(공),20150121,상,구미농산물도매시장,경상북도 칠곡군,기타,14800,7,개별,기타,경매,1.5,9867
(주)안양청과,20150126,특,안양농수산물도매시장,서울특별시 강서구,상자,22000,19,개별,기타,경매,2,11000
태원농산,20150109,특,안양농수산물도매시장,경상남도,접시용기,6000,3,계통,장희,경매,1,6000
태원농산,20150129,특,안양농수산물도매시장,경상남도,PE대,12000,7,계통,설향,경매,2,6000
안산농산물,20150119,특,안산농수산물도매시장,경상남도 진주시,상자,8000,10,협동,장희,경매,1.5,5334
안산농산물,20150127,특,안산농수산물도매시장,경상남도 진주시,상자,11000,21,협동,장희,경매,1.5,7334
안산농산물,20150113,특,안산농수산물도매시장,경상남도 진주시,상자,9000,5,협동,장희,경매,1.5,6000
안산농산물,20150106,특,안산농수산물도매시장,경상남도 진주시,상자,13000,5,협동,장희,경매,1.5,8667
안산농산물,20150122,특,안산농수산물도매시장,경상남도 진주시,상자,15500,12,협동,장희,경매,1.5,10334
안산농산물,20150124,특,안산농수산물도매시장,경상남도 진주시,상자,20000,3,협동,장희,경매,1.5,13334
안산농산물,20150120,특,안산농수산물도매시장,경상남도 진주시,상자,7500,5,협동,매향,경매,1.5,5000
안산농산물,20150127,특,안산농수산물도매시장,경상남도 진주시,상자,5500,1,협동,매향,경매,1.5,3667
안산농산물,20150121,특,안산농수산물도매시장,경상남도 진주시,상자,6000,13,협동,매향,경매,1.5,4000
안산농산물,20150122,특,안산농수산물도매시장,경상남도 진주시,상자,6500,10,협동,매향,경매,1.5,4334
안산농산물,20150110,특,안산농수산물도매시장,경상남도 진주시,상자,16500,16,협동,설향,경매,2,8250
안산농산물,20150110,상,안산농수산물도매시장,충청남도 논산시,상자,13000,1,협동,설향,경매,2,6500
안산농산물,20150103,특,안산농수산물도매시장,충청남도 논산시,상자,23500,15,협동,설향,경매,2,11750
안산농산물,20150103,특,안산농수산물도매시장,충청남도 논산시,상자,22000,28,개별,설향,경매,2,11000
안산농산물,20150103,특,안산농수산물도매시장,경상남도 진주시,상자,15000,42,협동,설향,경매,1.5,10000
안산농산물,20150119,특,안산농수산물도매시장,경상남도 진주시,상자,11500,20,협동,설향,경매,2,5750
안산농산물,20150126,특,안산농수산물도매시장,경상남도 진주시,상자,8500,13,협동,설향,경매,1.5,5667
안산농산물,20150112,특,안산농수산물도매시장,경상남도 진주시,상자,15500,45,협동,설향,경매,2,7750
안산농산물,20150120,특,안산농수산물도매시장,경상남도 진주시,상자,21000,16,협동,설향,경매,2,10500
안산농산물,20150120,특,안산농수산물도매시장,경상남도 진주시,상자,8500,3,협동,설향,경매,2,4250
안산농산물,20150120,특,안산농수산물도매시장,경상남도 진주시,상자,10500,6,협동,설향,경매,2,5250
안산농산물,20150120,특,안산농수산물도매시장,경상남도 진주시,상자,6000,13,협동,설향,경매,1.5,4000
안산농산물,20150105,상,안산농수산물도매시장,충청남도 논산시,P-BOX,9000,5,개별,설향,경매,1,9000
안산농산물,20150105,특,안산농수산물도매시장,충청남도 논산시,P-BOX,13500,20,개별,설향,경매,1,13500
안산농산물,20150127,보통,안산농수산물도매시장,충청남도 논산시,P-BOX,3000,6,협동,설향,경매,1,3000
안산농산물,20150113,특,안산농수산물도매시장,충청남도 논산시,상자,16500,46,개별,설향,경매,2,8250
안산농산물,20150113,특,안산농수산물도매시장,경상남도 진주시,상자,7500,24,협동,설향,경매,2,3750
안산농산물,20150113,특,안산농수산물도매시장,경상남도 진주시,상자,7500,2,협동,설향,경매,2,3750
안산농산물,20150113,특,안산농수산물도매시장,경상남도 진주시,상자,15500,5,협동,설향,경매,2,7750
안산농산물,20150113,특,안산농수산물도매시장,충청남도 논산시,P-BOX,10500,54,개별,설향,경매,1,10500
안산농산물,20150128,상,안산농수산물도매시장,충청남도 논산시,상자,15000,16,협동,설향,경매,2,7500
안산농산물,20150128,특,안산농수산물도매시장,경상남도 진주시,상자,13000,18,협동,설향,경매,2,6500
안산농산물,20150121,특,안산농수산물도매시장,경상남도 진주시,상자,18500,30,협동,설향,경매,2,9250
안산농산물,20150114,특,안산농수산물도매시장,경상남도 진주시,상자,17500,27,협동,설향,경매,2,8750
안산농산물,20150122,상,안산농수산물도매시장,충청남도 논산시,상자,12500,1,개별,설향,경매,2,6250
안산농산물,20150115,보통,안산농수산물도매시장,충청남도 논산시,상자,9000,2,협동,설향,경매,2,4500
안산농산물,20150130,특,안산농수산물도매시장,경상남도 진주시,상자,13000,6,협동,설향,경매,2,6500
안산농산물,20150130,특,안산농수산물도매시장,경상남도 진주시,상자,13500,30,협동,설향,경매,2,6750
안산농산물,20150123,특,안산농수산물도매시장,충청남도 논산시,P-BOX,11000,30,협동,설향,경매,1,11000
안산농산물,20150108,특,안산농수산물도매시장,충청남도 논산시,상자,22500,3,개별,설향,경매,2,11250
안산농산물,20150116,특,안산농수산물도매시장,충청남도 논산시,상자,20000,5,협동,설향,경매,2,10000
안산농산물,20150116,특,안산농수산물도매시장,경상남도 진주시,상자,11000,15,협동,설향,경매,2,5500
안산농산물,20150117,특,안산농수산물도매시장,경상남도 진주시,상자,22000,13,협동,설향,경매,2,11000
안산농산물,20150117,특,안산농수산물도매시장,경상남도 진주시,상자,15500,2,협동,설향,경매,2,7750
안산농산물,20150109,특,안산농수산물도매시장,경상남도 진주시,상자,22500,28,협동,설향,경매,2,11250
안산농산물,20150109,특,안산농수산물도매시장,경상남도 진주시,상자,9500,5,협동,설향,경매,2,4750
안산농산물,20150109,특,안산농수산물도매시장,경상남도 진주시,상자,5500,7,협동,설향,경매,1.5,3667
안산농산물,20150109,상,안산농수산물도매시장,충청남도 논산시,상자,15500,15,협동,설향,경매,2,7750
춘천원협(공),20150102,특,춘천농수산물도매시장,서울특별시 강서구,기타,12420,65,상인,기타,정가수의,1,12420
춘천원협(공),20150126,상,춘천농수산물도매시장,서울특별시 강서구,기타,3730,120,상인,기타,정가수의,1,3730
춘천원협(공),20150105,특,춘천농수산물도매시장,서울특별시 강서구,기타,22770,31,상인,기타,정가수의,2,11385
춘천원협(공),20150128,특,춘천농수산물도매시장,서울특별시 강서구,기타,20700,50,상인,기타,정가수의,2,10350
춘천원협(공),20150122,특,춘천농수산물도매시장,서울특별시 강서구,기타,9320,100,상인,기타,정가수의,1,9320
춘천원협(공),20150107,특,춘천농수산물도매시장,서울특별시 강서구,기타,17600,20,상인,기타,정가수의,2,8800
춘천원협(공),20150129,상,춘천농수산물도매시장,서울특별시 강서구,기타,13450,4,상인,기타,정가수의,2,6725
춘천원협(공),20150130,특,춘천농수산물도매시장,서울특별시 강서구,기타,20700,24,상인,기타,정가수의,2,10350
춘천원협(공),20150130,특,춘천농수산물도매시장,서울특별시 강서구,기타,11390,122,상인,기타,정가수의,1,11390
춘천원협(공),20150130,특,춘천농수산물도매시장,서울특별시 강서구,기타,18630,11,상인,기타,정가수의,2,9315
